SIGLA,Year,Population,State,Number of Companies,Population-to-Companies Ratio
BA,2018,3861000,Bahia,2251,1715.237672145713
CE,2018,2264988,Ceará,1443,1569.6382536382537
DF,2018,801332,Distrito Federal,879,911.6405005688282
ES,2018,1083251,Espírito Santo,976,1109.888319672131
GO,2018,1898086,Goiás,1804,1052.1541019955655
MA,2018,1532250,Maranhão,569,2692.8822495606328
MG,2018,5811016,Minas Gerais,6324,918.8829854522454
MS,2018,718386,Mato Grosso do Sul,675,1064.2755555555555
MT,2018,919580,Mato Grosso,1024,898.02734375
PA,2018,1897636,Pará,805,2357.311801242236
PB,2018,1036204,Paraíba,1025,1010.930731707317
PE,2018,2429493,Pernambuco,1345,1806.314498141264
PI,2018,829050,Piauí,499,1661.4228456913827
PR,2018,3186559,Paraná,5013,635.659086375424
RJ,2018,4880499,Rio de Janeiro,3324,1468.2608303249096
RN,2018,887998,Rio Grande do Norte,764,1162.3010471204188
RO,2018,440291,Rondônia,274,1606.9014598540145
RR,2018,123697,Roraima,70,1767.1
RS,2018,3141740,Rio Grande do Sul,5086,617.7231616201337
SC,2018,2046677,Santa Catarina,4110,497.9749391727494
SE,2018,573868,Sergipe,377,1522.1962864721486
SP,2018,12733834,São Paulo,15623,815.06970492223
TO,2018,370392,Tocantins,278,1332.3453237410072
AC,2019,185778,Acre,111,1673.6756756756756
AL,2019,810607,Alagoas,291,2785.591065292096
AM,2019,898809,Amazonas,416,2160.5985576923076
AP,2019,169508,Amapá,30,5650.266666666666
BA,2019,3956517,Bahia,2010,1968.4164179104478
CE,2019,2315787,Ceará,1537,1506.6929082628496
DF,2019,824815,Distrito Federal,879,938.3560864618885
ES,2019,1103896,Espírito Santo,1142,966.6339754816112
GO,2019,1946107,Goiás,1738,1119.7393555811277
MA,2019,1576453,Maranhão,520,3031.6403846153844
MG,2019,5895632,Minas Gerais,6843,861.5566272102878
MS,2019,732852,Mato Grosso do Sul,620,1182.0193548387097
MT,2019,946596,Mato Grosso,930,1017.8451612903226
PA,2019,1955992,Pará,647,3023.1715610510046
PB,2019,1059895,Paraíba,914,1159.6225382932166
PE,2019,2479316,Pernambuco,1502,1650.676431424767
PI,2019,848598,Piauí,491,1728.30549898167
PR,2019,3232542,Paraná,4896,660.2414215686274
RJ,2019,4926649,Rio de Janeiro,3457,1425.1226496962684
RN,2019,906401,Rio Grande do Norte,723,1253.6666666666667
RO,2019,449920,Rondônia,272,1654.1176470588234
RR,2019,132258,Roraima,82,1612.9024390243903
RS,2019,3156772,Rio Grande do Sul,5259,600.260886100019
SC,2019,2095892,Santa Catarina,4445,471.51676040494937
SE,2019,588360,Sergipe,293,2008.0546075085324
SP,2019,12933176,São Paulo,15288,845.9691261119832
TO,2019,380870,Tocantins,230,1655.9565217391305
AC,2020,191491,Acre,90,2127.677777777778
AL,2020,826340,Alagoas,364,2270.164835164835
AM,2020,928553,Amazonas,438,2119.98401826484
AP,2020,174875,Amapá,42,4163.690476190476
BA,2020,4047878,Bahia,2174,1861.949402023919
CE,2020,2363772,Ceará,1524,1551.0314960629921
DF,2020,846595,Distrito Federal,898,942.7561247216036
ES,2020,1123718,Espírito Santo,1153,974.6036426712923
GO,2020,1992304,Goiás,1964,1014.4114052953157
MA,2020,1620517,Maranhão,544,2978.891544117647
MG,2020,5975399,Minas Gerais,7193,830.7241762824968
MS,2020,746605,Mato Grosso do Sul,690,1082.036231884058
MT,2020,972660,Mato Grosso,1182,822.8934010152284
PA,2020,2013973,Pará,619,3253.5912762520193
PB,2020,1082079,Paraíba,958,1129.51878914405
PE,2020,2525819,Pernambuco,1468,1720.5851498637603
PI,2020,867365,Piauí,447,1940.413870246085
PR,2020,3274334,Paraná,5432,602.7860824742268
RJ,2020,4965652,Rio de Janeiro,3589,1383.5753691836167
RN,2020,923556,Rio Grande do Norte,795,1161.7056603773585
RO,2020,459037,Rondônia,296,1550.8006756756756
RR,2020,139411,Roraima,54,2581.685185185185
RS,2020,3169659,Rio Grande do Sul,5108,620.528386844166
SC,2020,2144650,Santa Catarina,4757,450.84086609207486
SE,2020,602049,Sergipe,349,1725.0687679083094
SP,2020,13120506,São Paulo,15793,830.7798391692522
TO,2020,391006,Tocantins,284,1376.781690140845
