SIGLA,Year,Population,Number of Companies,Population-to-Companies Ratio
PB,2018,1036204.0,1025.0,1010.930731707317
PE,2018,2429493.0,1345.0,1806.314498141264
PI,2018,829050.0,499.0,1661.4228456913827
PR,2018,3186559.0,5013.0,635.659086375424
RJ,2018,4880499.0,3324.0,1468.2608303249096
RN,2018,887998.0,764.0,1162.3010471204188
RO,2018,440291.0,274.0,1606.9014598540145
RR,2018,123697.0,70.0,1767.1
RS,2018,3141740.0,5086.0,617.7231616201337
SC,2018,2046677.0,4110.0,497.9749391727494
SE,2018,573868.0,377.0,1522.1962864721486
SP,2018,12733834.0,15623.0,815.06970492223
TO,2018,370392.0,278.0,1332.3453237410072
AC,2019,185778.0,111.0,1673.6756756756756
AL,2019,810607.0,291.0,2785.591065292096
AM,2019,898809.0,416.0,2160.5985576923076
AP,2019,169508.0,30.0,5650.266666666666
BA,2019,3956517.0,2010.0,1968.4164179104478
CE,2019,2315787.0,1537.0,1506.6929082628496
DF,2019,824815.0,879.0,938.3560864618885
ES,2019,1103896.0,1142.0,966.6339754816112
GO,2019,1946107.0,1738.0,1119.7393555811277
MA,2019,1576453.0,520.0,3031.6403846153844
MG,2019,5895632.0,6843.0,861.5566272102878
MS,2019,732852.0,620.0,1182.0193548387097
MT,2019,946596.0,930.0,1017.8451612903226
PA,2019,1955992.0,647.0,3023.1715610510046
PB,2019,1059895.0,914.0,1159.6225382932166
PE,2019,2479316.0,1502.0,1650.676431424767
PI,2019,848598.0,491.0,1728.30549898167
PR,2019,3232542.0,4896.0,660.2414215686274
RJ,2019,4926649.0,3457.0,1425.1226496962684
RN,2019,906401.0,723.0,1253.6666666666667
RO,2019,449920.0,272.0,1654.1176470588234
RR,2019,132258.0,82.0,1612.9024390243903
RS,2019,3156772.0,5259.0,600.260886100019
SC,2019,2095892.0,4445.0,471.51676040494937
SE,2019,588360.0,293.0,2008.0546075085324
SP,2019,12933176.0,15288.0,845.9691261119832
TO,2019,380870.0,230.0,1655.9565217391305
AC,2020,191491.0,90.0,2127.677777777778
AL,2020,826340.0,364.0,2270.164835164835
AM,2020,928553.0,438.0,2119.98401826484
AP,2020,174875.0,42.0,4163.690476190476
BA,2020,4047878.0,2174.0,1861.949402023919
CE,2020,2363772.0,1524.0,1551.0314960629921
DF,2020,846595.0,898.0,942.7561247216036
ES,2020,1123718.0,1153.0,974.6036426712923
GO,2020,1992304.0,1964.0,1014.4114052953157
MA,2020,1620517.0,544.0,2978.891544117647
MG,2020,5975399.0,7193.0,830.7241762824968
MS,2020,746605.0,690.0,1082.036231884058
MT,2020,972660.0,1182.0,822.8934010152284
PA,2020,2013973.0,619.0,3253.5912762520193
PB,2020,1082079.0,958.0,1129.51878914405
PE,2020,2525819.0,1468.0,1720.5851498637603
PI,2020,867365.0,447.0,1940.413870246085
PR,2020,3274334.0,5432.0,602.7860824742268
RJ,2020,4965652.0,3589.0,1383.5753691836167
RN,2020,923556.0,795.0,1161.7056603773585
RO,2020,459037.0,296.0,1550.8006756756756
RR,2020,139411.0,54.0,2581.685185185185
RS,2020,3169659.0,5108.0,620.528386844166
SC,2020,2144650.0,4757.0,450.84086609207486
SE,2020,602049.0,349.0,1725.0687679083094
SP,2020,13120506.0,15793.0,830.7798391692522
TO,2020,391006.0,284.0,1376.781690140845
AC,2021,195305.25946479235,131.0,1490.8798432426897
AL,2021,839662.7409051674,466.72727272727275,1799.0436599058903
AM,2021,965155.1899124433,488.0909090909091,1977.4086587887643
AP,2021,178609.1361450241,118.54545454545455,1506.672160732565
BA,2021,4136856.9356270814,2540.909090909091,1628.1011195670087
CE,2021,2405559.949315576,1683.8181818181818,1428.6340266964332
DF,2021,865154.7971389815,978.5454545454545,884.1232598038645
ES,2021,1141494.1973116295,1027.2727272727273,1111.18904163079
GO,2021,2035659.0389690462,2081.6363636363635,977.9128932072456
MA,2021,1662226.592798125,645.0909090909091,2576.732316908029
MG,2021,6053672.100135654,7108.909090909091,851.5613327897414
MS,2021,759878.5803428291,762.2727272727273,996.859199018619
MT,2021,1001909.5343445558,1204.0,832.1507760336842
PA,2021,2068021.6100628935,874.5454545454545,2364.68167470809
PB,2021,1101372.3785916888,1201.1818181818182,916.9073007272062
PE,2021,2568192.041435443,1450.2727272727273,1770.8338529298485
PI,2021,885133.6622271554,579.1818181818182,1528.2483573220386
PR,2021,3314656.746947837,5801.181818181818,571.3761179763717
RJ,2021,5000549.076458257,3536.181818181818,1414.1097187783646
RN,2021,936126.6762856091,855.9090909090909,1093.7220859417632
RO,2021,464545.5609816252,296.3636363636364,1567.4850217171402
RR,2021,167461.2195091873,70.27272727272727,2383.018647608099
RS,2021,3178034.5756566785,5773.0,550.4996666649365
SC,2021,2201998.1109877923,4718.727272727273,466.65085386787104
SE,2021,613942.579109631,414.0909090909091,1482.627523645651
SP,2021,13284740.321617953,17623.18181818182,753.8218954259497
TO,2021,399966.93155752873,313.72727272727275,1274.8873506614939
AC,2022,198937.51892958468,134.0,1484.6083502207812
AL,2022,851056.4818103348,481.6363636363636,1767.0104378848025
AM,2022,999584.3798248866,505.45454545454544,1977.5949960564303
AP,2022,182300.27229004822,122.72727272727272,1485.4096260670597
BA,2022,4217635.871254163,2637.5454545454545,1599.0760894700925
CE,2022,2443153.898631152,1764.090909090909,1384.9365052791898
DF,2022,880623.5942779633,1011.7272727272727,870.415988593548
ES,2022,1158115.394623259,1044.3636363636363,1108.919684963079
GO,2022,2076842.0779380924,2174.181818181818,955.2292547800225
MA,2022,1702897.18559625,670.4545454545455,2539.9144463130506
MG,2022,6123928.200271309,7370.545454545454,830.8649933763926
MS,2022,771917.1606856582,791.3636363636364,975.4266246458633
MT,2022,1029421.0686891117,1264.0,814.4154024439175
PA,2022,2121771.220125787,897.7272727272727,2363.491992038851
PB,2022,1118104.7571833774,1259.909090909091,887.4487574151923
PE,2022,2606033.0828708857,1485.3636363636365,1754.4748094485428
PI,2022,901377.3244543106,605.9090909090909,1487.644496473731
PR,2022,3348348.4938956737,6063.909090909091,552.1765652647168
RJ,2022,5025535.152916513,3606.909090909091,1393.3079615405193
RN,2022,946983.3525712182,886.5454545454545,1068.1723624162632
RO,2022,469692.1219632505,303.8181818181818,1545.9644947922668
RR,2022,193643.4390183746,70.36363636363636,2752.038539020828
RS,2022,3182791.1513133566,6002.0,530.2884290758675
SC,2022,2257599.2219755845,4921.636363636364,458.7090664917697
SE,2022,624585.158219262,426.45454545454544,1464.599603583859
SP,2022,13431038.643235909,18289.909090909092,734.3414653663718
TO,2022,408357.86311505747,325.6363636363636,1254.0302887397074
